Search_method Problem Max_evals Run Score
hill_climber_restart knapPI_13_20_1000_4 10000 49 907N
hill_climber_restart knapPI_16_20_1000_4 10000 0 2675N
hill_climber_restart knapPI_16_20_1000_4 10000 1 2575N
hill_climber_restart knapPI_16_20_1000_4 10000 2 2489N
hill_climber_restart knapPI_16_20_1000_4 10000 3 2341N
hill_climber_restart knapPI_16_20_1000_4 10000 4 2446N
hill_climber_restart knapPI_16_20_1000_4 10000 5 2633N
hill_climber_restart knapPI_16_20_1000_4 10000 6 0
hill_climber_restart knapPI_16_20_1000_4 10000 7 2886N
hill_climber_restart knapPI_16_20_1000_4 10000 8 2671N
hill_climber_restart knapPI_16_20_1000_4 10000 9 2442N
hill_climber_restart knapPI_16_20_1000_4 10000 10 2702N
hill_climber_restart knapPI_16_20_1000_4 10000 11 2886N
hill_climber_restart knapPI_16_20_1000_4 10000 12 2395N
hill_climber_restart knapPI_16_20_1000_4 10000 13 2513N
hill_climber_restart knapPI_16_20_1000_4 10000 14 2886N
hill_climber_restart knapPI_16_20_1000_4 10000 15 2664N
hill_climber_restart knapPI_16_20_1000_4 10000 16 1961N
hill_climber_restart knapPI_16_20_1000_4 10000 17 2532N
hill_climber_restart knapPI_16_20_1000_4 10000 18 2557N
hill_climber_restart knapPI_16_20_1000_4 10000 19 2556N
hill_climber_restart knapPI_16_20_1000_4 10000 20 2542N
hill_climber_restart knapPI_16_20_1000_4 10000 21 2582N
hill_climber_restart knapPI_16_20_1000_4 10000 22 2292N
hill_climber_restart knapPI_16_20_1000_4 10000 23 2525N
hill_climber_restart knapPI_16_20_1000_4 10000 24 2040N
hill_climber_restart knapPI_16_20_1000_4 10000 25 2633N
hill_climber_restart knapPI_16_20_1000_4 10000 26 2520N
hill_climber_restart knapPI_16_20_1000_4 10000 27 2485N
hill_climber_restart knapPI_16_20_1000_4 10000 28 2348N
hill_climber_restart knapPI_16_20_1000_4 10000 29 2285N
hill_climber_restart knapPI_16_20_1000_4 10000 30 2274N
